"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"University of Arkansas at Pine Bluff","1200 N University Mail Slot 4789, Pine Bluff, Arkansas 71601","www.uapb.edu","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Small","Yes","2579","2473","29%","23%","Fall 2012","$10,465","-","106412","00108600"
"University of Arkansas for Medical Sciences","4301 W Markham, Little Rock, Arkansas 72205-7199","www.uams.edu","4-year, Public","One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","2758","606","NA","NA","Fall 2012","NA","-","106263","00110900"
"University of Arkansas-Fort Smith","5210 Grand Ave, Fort Smith, Arkansas 72913-3649","uafs.edu/","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","City: Small","Yes","6557","6531","32%","21%","Fall 2012","$10,739","-","108092","00111000"
"University of Bridgeport","126 Park Avenue, Bridgeport, Connecticut 06604-5620","www.bridgeport.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","5485","3415","42%","NA","Fall 2012","$23,326","-","128744","00141600"
"University of California-Berkeley","200 California Hall, Berkeley, California 94720","www.berkeley.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","42501","30853","91%","NA","Fall 2012","$17,862","-","110635","00131200"
"University of California-Davis","One Shields Avenue, Davis, California 95616-8678","www.ucdavis.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Small","Yes","38167","30718","86%","NA","Fall 2012","$15,724","-","110644","00131300"
"University of California-Hastings College of Law","200 McAllister Street, San Francisco, California 94102-4978","www.uchastings.edu","4-year, Public","Master's degree|Doctor's degree - professional practice","City: Large","Yes","1002","","NA","NA","Fall 2012","NA","-","110398","00394700"
"University of California-Irvine","501 Aldrich Hall, Irvine, California 92697","www.uci.edu/","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","36032","29736","83%","10%","Fall 2012","$15,014","-","110653","00131400"
"University of California-Los Angeles","405 Hilgard Ave, Los Angeles, California 90095-1405","www.ucla.edu/","4-year, Public","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","44537","31577","91%","4%","Fall 2012","$15,002","-","110662","00131500"
"University of California-Merced","5200 North Lake Road, Merced, California 95343-5603","www.ucmerced.edu","4-year, Public","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Rural: Fringe","Yes","8544","7881","66%","NA","Fall 2012","$12,390","-","445188","04127100"
"University of California-Riverside","900 University Ave, Riverside, California 92521","WWW.UCR.EDU","4-year, Public","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","23922","20581","75%","16%","Fall 2012","$12,890","-","110671","00131600"
"University of California-San Diego","9500 Gilman Dr, La Jolla, California 92093","www.ucsd.edu","4-year, Public","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","37887","30285","86%","NA","Fall 2012","$13,452","-","110680","00131700"
"University of California-San Francisco","500 Parnassus Ave, San Francisco, California 94143-0244","www.ucsf.edu","4-year, Public","Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","3114","","NA","NA","Fall 2012","NA","-","110699","00131900"
"University of California-Santa Barbara","5221 Cheadle Hall, Santa Barbara, California 93106","www.ucsb.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Midsize","Yes","25976","23070","82%","NA","Fall 2012","$16,912","-","110705","00132000"
"University of California-Santa Cruz","1156 High St, Santa Cruz, California 95064-1011","www.ucsc.edu/","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Small","Yes","19700","17792","74%","5%","Fall 2012","$17,266","-","110714","00132100"
"University of Central Arkansas","201 Donaghey Ave, Conway, Arkansas 72035-0001","www.uca.edu","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","Yes","11177","9425","41%","35%","Fall 2012","$14,241","-","106704","00109200"
"University of Colorado Boulder","Regent Drive at Broadway, Boulder, Colorado 80309-0017","www.colorado.edu","4-year, Public","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","36681","30159","71%","18%","Fall 2012","$21,466","-","126614","00137000"
"University of Colorado Colorado Springs","1420 Austin Bluffs Parkway, Colorado Springs, Colorado 80918","https://www.uccs.edu","4-year, Public","One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","13123","10951","45%","35%","Fall 2012","$15,645","-","126580","00450900"
"University of Colorado Denver/Anschutz Medical Campus","1380 Lawrence Street, Lawrence Street Center, Suite 1400, Denver, Colorado 80217-3364","www.ucdenver.edu/","4-year, Public","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","25645","16443","48%","27%","Fall 2012","$14,477","-","126562","00450800"
"University of Connecticut","352 Mansfield Road, Storrs, Connecticut 06269","uconn.edu/","4-year, Public","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","27412","19133","85%","8%","Fall 2012","$19,650","-","129020","00141700"
"University of Connecticut-Avery Point","1084 Shennecossett Rd, Groton, Connecticut 06340-6097","uconn.edu/","4-year, Public","Associate's degree|Bachelor's degree","Suburb: Midsize","No","571","571","58%","25%","Fall 2012","$7,629","-","436827","00141705"
"University of Connecticut-Hartford Campus","10 Prospect Street, Hartford, Connecticut 06103","hartford.uconn.edu/","4-year, Public","Associate's degree|Bachelor's degree","City: Midsize","No","1432","1432","65%","20%","Fall 2012","$6,206","-","463056","00141701"
"University of Connecticut-Stamford","One University Place, Stamford, Connecticut 06901-2315","uconn.edu/","4-year, Public","Associate's degree|Bachelor's degree","City: Midsize","Yes","1977","1977","67%","20%","Fall 2012","$10,351","-","436836","00141702"
"University of Connecticut-Waterbury Campus","99 East Main Street, Waterbury, Connecticut 06702","uconn.edu/","4-year, Public","Associate's degree|Bachelor's degree","Suburb: Midsize","No","865","865","64%","23%","Fall 2012","$6,630","-","436818","00141704"
"University of Delaware","104 Hullihen Hall, Newark, Delaware 19716","www.udel.edu/","4-year, Public","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","24120","19956","81%","NA","Fall 2012","$15,883","-","130943","00143100"
"University of Denver","2199 S. University Blvd, Denver, Colorado 80208","www.du.edu","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","11952","5801","77%","NA","Fall 2012","$34,337","-","127060","00137100"
"University of Hartford","200 Bloomfield Ave, West Hartford, Connecticut 06117-1599","www.hartford.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","6770","5000","58%","31%","Fall 2012","$29,819","-","129525","00142200"
"University of La Verne","1950 Third St, La Verne, California 91750-4401","www.laverne.edu/","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","8064","5149","69%","NA","Fall 2012","$26,617","-","117140","00121600"
"University of Mobile","5735 College Parkway Drive, Mobile, Alabama 36613-2842","www.umobile.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Rural: Fringe","Yes","1885","1676","50%","NA","Fall 2012","$19,779","-","101693","00102900"
"University of Montevallo","Station 6001, Montevallo, Alabama 35115-6000","www.montevallo.edu","4-year, Public","Bachelor's degree|Master's degree|Post-master's certificate","Suburb: Large","Yes","2612","2281","49%","28%","Fall 2012","$16,308","-","101709","00100400"
"University of New Haven","300 Boston Post Road, West Haven, Connecticut 06516-1916","www.newhaven.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Suburb: Large","Yes","6867","5092","65%","NA","Fall 2012","$33,214","-","129941","00139700"
"University of North Alabama","One Harrison Plaza, Florence, Alabama 35632-0001","www.una.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Small","Yes","7488","6153","46%","30%","Fall 2012","$12,121","-","101879","00101600"
"University of Northern Colorado","Carter Hall - Rm 4000, Greeley, Colorado 80639","https://www.unco.edu","4-year, Public","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Midsize","Yes","13437","10232","47%","38%","Fall 2012","$14,641","-","127741","00134900"
"University of Redlands","1200 E. Colton Ave, Redlands, California 92373-0999","www.redlands.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Small","Yes","4598","3014","74%","9%","Fall 2012","$29,226","-","121691","00132200"
"University of Saint Joseph","1678 Asylum Avenue, West Hartford, Connecticut 06117","https://www.usj.edu","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Small","Yes","2465","903","63%","19%","Fall 2012","$25,714","-","130314","00140900"
"University of Saint Katherine","1637 Capalina Road, San Marcos, California 92069","www.usk.edu","4-year, Private not-for-profit","Bachelor's degree","Suburb: Large","No","187","187","NA","NA","Fall 2012","$23,730","-","488785","04259700"
"University of San Diego","5998 Alcala Park, San Diego, California 92110-2492","www.sandiego.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","9073","5855","80%","NA","Fall 2012","$35,931","-","122436","01039500"
"University of San Francisco","2130 Fulton St, San Francisco, California 94117-1080","https://www.usfca.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","10713","6704","75%","14%","Fall 2012","$34,475","-","122612","00132500"
"University of South Alabama","307 N University Blvd, Mobile, Alabama 36688-0002","www.southalabama.edu","4-year, Public","Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","14834","10293","44%","31%","Fall 2012","$12,836","-","102094","00105700"
"University of Southern California","University Park, Los Angeles, California 90089","www.usc.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","City: Large","Yes","47310","19907","92%","NA","Fall 2012","$36,161","-","123961","00132800"
"University of the District of Columbia","4200 Connecticut Ave NW, Washington, District of Columbia 20008","www.udc.edu","4-year, Public","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","No","4244","3867","24%","28%","Fall 2012","$17,350","-","131399","00144100"
"University of the District of Columbia-David A Clarke School of Law","4340 Connecticut Ave NW, Washington, District of Columbia 20008","www.law.udc.edu","4-year, Public","Doctor's degree - professional practice","City: Large","No","256","","NA","NA","Fall 2012","NA","-","363721","00144102"
"University of the Ozarks","415 N College Ave, Clarksville, Arkansas 72830","https://www.ozarks.edu","4-year, Private not-for-profit","Bachelor's degree","Town: Remote","Yes","872","872","50%","NA","Fall 2012","$17,208","-","107558","00109400"
"University of the Pacific","3601 Pacific Ave, Stockton, California 95211-0197","www.pacific.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","6493","3701","73%","NA","Fall 2012","$29,819","-","120883","00132900"
"University of the People","225 S. Lake Ave., Suite 300, Pasadena, California 91101","uopeople.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Midsize","No","4987","4384","17%","NA","Fall 2012","$1,474","-","488846",""
"University of the West","1409 Walnut Grove Ave, Rosemead, California 91770","www.uwest.edu","4-year, Private not-for-profit","One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","291","140","48%","19%","Fall 2012","$9,580","-","449870","03696300"
"University of West Alabama","Station One, Livingston, Alabama 35470","www.uwa.edu","4-year, Public","Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Rural: Remote","Yes","5200","2154","31%","31%","Fall 2012","$13,357","-","101587","00102400"
"Vanguard University of Southern California","55 Fair Dr, Costa Mesa, California 92626","https://www.vanguard.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate","City: Midsize","Yes","2169","1848","64%","NA","Fall 2012","$20,572","-","123651","00129300"
"Wesley College","120 N State St, Dover, Delaware 19901-3875","www.wesley.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Small","Yes","1351","1229","32%","NA","Fall 2012","$22,630","-","131098","00143300"
"Wesley Theological Seminary","4500 Massachusetts Ave., NW, Washington, District of Columbia 20016-5690","www.wesleyseminary.edu/","4-year, Private not-for-profit","Master's degree|Doctor's degree - professional practice","City: Large","Yes","512","","NA","NA","Fall 2012","NA","-","131973","00146400"
"Wesleyan University","45 Wyllys Avenue, Middletown, Connecticut 06459","www.wesleyan.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Small","Yes","3217","3009","89%","7%","Fall 2012","$21,236","-","130697","00142400"
"West Los Angeles College","9000 Overland Avenue, Culver City, California 90230-3519","www.wlac.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","Suburb: Large","No","11743","11743","18%","15%","Fall 2012","$10,157","-","125471","00859600"
"Western Connecticut State University","181 White Street, Danbury, Connecticut 06810-6826","www.wcsu.edu","4-year, Public","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Small","Yes","5642","5028","49%","31%","Fall 2012","$19,029","-","130776","00138000"
"Western Seminary-Sacramento","290 Technology Way, Ste 200, Rocklin, California 95765","https://www.westernseminary.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree","Rural: Fringe","","","","NA","NA","Fall 2012","NA","-","21036802","00717804"
"Western Seminary-San Jose","1000 S. Park Victoria Drive, Milpitas, California 95035","https://www.westernseminary.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree","City: Small","","","","NA","NA","Fall 2012","NA","-","21036801","00717801"
"Western State Colorado University","1 Western Way, Gunnison, Colorado 81231","www.western.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree","Town: Remote","Yes","3034","2606","48%","15%","Fall 2012","$17,230","-","128391","00137200"
"Western University of Health Sciences","309 E 2nd St, Pomona, California 91766-1854","www.westernu.edu","4-year, Private not-for-profit","Master's degree|Post-master's certificate|Doctor's degree - professional practice","Suburb: Large","No","3833","","NA","NA","Fall 2012","NA","-","112525","02482700"
"Westminster Theological Seminary in California","1725 Bear Valley Parkway, Escondido, California 92027","www.wscal.edu","4-year, Private not-for-profit","Master's degree","Suburb: Large","Yes","127","","NA","NA","Fall 2012","NA","-","125718","02276800"
"Westmont College","955 La Paz Rd, Santa Barbara, California 93108-1089","www.westmont.edu","4-year, Private not-for-profit","One but less than two years certificate|Bachelor's degree","Suburb: Midsize","Yes","1277","1277","75%","NA","Fall 2012","$31,945","-","125727","00134100"
"Whittier College","13406 E Philadelphia Street, Whittier, California 90601","www.whittier.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - professional practice","Suburb: Large","Yes","1852","1732","66%","NA","Fall 2012","$26,074","-","125763","00134200"
"William Jessup University","2121 University Avenue, Rocklin, California 95765-3707","WWW.JESSUP.EDU","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","Rural: Fringe","Yes","1695","1257","59%","NA","Fall 2012","$23,637","-","122728","00128100"
"Williams Baptist University","60 W Fulbright Avenue, Walnut Ridge, Arkansas 72476","https://williamsbaptistuniversity.com/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Rural: Distant","Yes","496","479","38%","NA","Fall 2012","$17,051","-","107877","00110600"
"Wilmington University","320 Dupont Hwy, New Castle, Delaware 19720","www.wilmu.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","No","14786","9042","24%","28%","Fall 2012","$13,814","-","131113","00794800"
"Woodbury University","7500 Glenoaks Blvd, Burbank, California 91504-1052","https://woodbury.edu/","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Large","Yes","1173","1059","52%","NA","Fall 2012","$29,028","-","125897","00134300"
"World Mission University","500 Shatto Pl Ste 600, Los Angeles, California 90020","www.wmu.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree|Doctor's degree","City: Large","No","348","137","50%","50%","Fall 2012","$18,545","-","401223","03868300"
"Wright Institute (The) -","2501 9th Street, Berkeley, California 94710-2254","wi.edu","4-year, Private not-for-profit","Master's degree","City: Midsize","","","","NA","NA","Fall 2012","NA","-","12601201","00884601"
"Yale University","Woodbridge Hall, New Haven, Connecticut 06520","https://www.yale.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","City: Midsize","Yes","13433","5964","97%","NA","Fall 2012","$18,748","-","130794","00142600"
"Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary","7215 Waring Ave, Los Angeles, California 90046-7660","www.yoec.edu/","4-year, Private not-for-profit","Bachelor's degree","City: Large","Yes","155","155","38%","35%","Fall 2012","$11,481","-","126076","02262400"
"Yo San University of Traditional Chinese Medicine","13315 W. Washington Boulevard, Los Angeles, California 90066","yosan.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree - professional practice","Suburb: Large","No","128","","NA","NA","Fall 2012","NA","-","401250","03098200"
"Zaytuna College","1712 Euclid Avenue, Berkeley, California 94709","https://www.zaytuna.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Midsize","Yes","43","37","NA","NA","Fall 2012","NA","-","458575",""
"","* Cohort Year represents the year for which students began their studies and applies to Graduation and Transfer Out Rates.","","","","","","","","","","","","","",""
"","** Net Price is Average Net Price for 2017-2018 generated for full-time beginning undergraduate students who were awarded grant or scholarship aid from federal, state or local governments, or the institution. For public institutions only students paying the in-state or in-district rate are included.  For institutions that charge students by program, net price is generated for the institution’s largest program.","","","","","","","","","","","","","",""
"","NA (Not applicable) - Graduation rate, transfer-out rate and the net price are not applicable to institutions that do not have full-time, first-time degree-seeking undergraduate students in the applicable cohort year or the financial aid year.","","","","","","","","","","","","","",""
